iShares Balanced Income CorePortfolio™ Index ETF
Inception Date,"Jun 21, 2007"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$95,313,631"
Shares Outstanding,"3,875,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Sector,Country of Risk,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"CLF","CA46432E1007","B7T29B9","ISHARES 1-5 YEAR LADDERED GOVERNME","18.10","ETFs","Canada","$17,273,997","892,713","19.35","Toronto Stock Exchange","CAD","CAD","1.00","17,273,996.55"
"CDZ","CA46433F1062","B7KLF40","ISHARES S&P/TSX CANADIAN DIVIDEND","14.00","ETFs","Canada","$13,358,317","541,590","24.66","Toronto Stock Exchange","CAD","CAD","1.00","13,358,317.35"
