iShares Core High Quality Canadian Bond Index ETF
Inception Date,"Nov 19, 2009"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$261,810,245"
Shares Outstanding,"12,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"CANADA (GOVERNMENT OF)","135087YQ1","B39VLH8","1.23","$3,226,632","Canada","Federal","4.00","Jun 1, 2041","17.27","137.17","FI","CAD","CAD","1.00","17.56","2.12","-","2.12","3,226,632.12"
"CANADA (GOVERNMENT OF)","135087XW9","B0225F3","1.21","$3,152,930","Canada","Federal","5.00","Jun 1, 2037","14.68","150.97","FI","CAD","CAD","1.00","14.94","2.08","-","2.08","3,152,929.54"
"CANADA (GOVERNMENT OF)","135087YR9","B3DLWM6","1.21","$3,151,810","Canada","Federal","3.75","Jun 1, 2019","3.58","112.21","FI","CAD","CAD","1.00","3.58","0.52","-","0.52","3,151,809.85"
"CANADA (GOVERNMENT OF)","135087ZS6","B6R2TV4","1.06","$2,782,473","Canada","Federal","3.50","Dec 1, 2045","19.82","130.62","FI","CAD","CAD","1.00","20.15","2.12","-","2.12","2,782,472.67"
"ONTARIO (PROVINCE OF)","68323ACC6","B984ND0","1.05","$2,744,108","Canada","Provincial","3.45","Jun 2, 2045","18.68","108.76","FI","CAD","CAD","1.00","18.95","3.00","-","3.00","2,744,107.79"
"CANADA (GOVERNMENT OF)","135087XG4","2703147","1.02","$2,660,644","Canada","Federal","5.75","Jun 1, 2033","12.38","156.39","FI","CAD","CAD","1.00","12.56","1.98","-","1.98","2,660,644.15"
"CANADA (GOVERNMENT OF)","135087D27","BN8SX52","1.01","$2,634,917","Canada","Federal","1.25","Aug 1, 2017","1.96","101.60","FI","CAD","CAD","1.00","1.96","0.44","-","0.44","2,634,917.26"
"CANADA (GOVERNMENT OF)","135087YZ1","B403J21","0.97","$2,528,728","Canada","Federal","3.50","Jun 1, 2020","4.46","113.12","FI","CAD","CAD","1.00","4.46","0.73","-","0.73","2,528,728.17"
"CANADA (GOVERNMENT OF)","135087B60","BFRB3S9","0.92","$2,402,960","Canada","Federal","1.50","Feb 1, 2017","1.48","101.58","FI","CAD","CAD","1.00","1.47","0.44","-","0.44","2,402,960.28"
"ONTARIO PROVINCE OF","68323ACG7","-","0.92","$2,397,285","Canada","Provincial","3.50","Jun 2, 2024","7.63","111.61","FI","CAD","CAD","1.00","7.62","2.05","-","2.05","2,397,285.36"
"ONTARIO (PROVINCE OF)","68323ABN3","B3VN9L2","0.88","$2,309,467","Canada","Provincial","2.85","Jun 2, 2023","7.01","106.86","FI","CAD","CAD","1.00","7.00","1.90","-","1.90","2,309,467.47"
"CANADA (GOVERNMENT OF)","135087WL4","2145578","0.85","$2,224,212","Canada","Federal","5.75","Jun 1, 2029","10.26","148.04","FI","CAD","CAD","1.00","10.37","1.81","-","1.81","2,224,212.35"
"CANADA HOUSING TRUST NO 1 144A","13509PEP4","BQVC9T8","0.83","$2,179,763","Canada","Federal","2.00","Dec 15, 2019","4.18","104.26","FI","CAD","CAD","1.00","4.17","1.00","-","1.00","2,179,763.16"
"ONTARIO (PROVINCE OF)","68323AAY0","B7LXJ76","0.78","$2,033,540","Canada","Provincial","3.50","Jun 2, 2043","17.83","109.06","FI","CAD","CAD","1.00","18.08","3.02","-","3.02","2,033,539.55"
"CANADA (GOVERNMENT OF)","135087B45","BBTRTM3","0.77","$2,015,881","Canada","Federal","2.50","Jun 1, 2024","7.92","109.65","FI","CAD","CAD","1.00","7.93","1.34","-","1.34","2,015,880.90"
"ONTARIO (PROVINCE OF)","68323AAW4","B6SMJV3","0.77","$2,007,071","Canada","Provincial","3.15","Jun 2, 2022","6.15","109.24","FI","CAD","CAD","1.00","6.14","1.71","-","1.71","2,007,071.39"
"CANADA (GOVERNMENT OF)","135087D50","BNM8NP8","0.77","$2,006,177","Canada","Federal","2.25","Jun 1, 2025","8.79","107.34","FI","CAD","CAD","1.00","8.81","1.45","-","1.45","2,006,176.51"
"CANADA (GOVERNMENT OF)","135087A61","B8FF1Z7","0.76","$1,996,784","Canada","Federal","1.50","Jun 1, 2023","7.34","102.02","FI","CAD","CAD","1.00","7.35","1.23","-","1.23","1,996,783.74"
"CANADA (GOVERNMENT OF)","135087ZJ6","B4PM5Y7","0.75","$1,966,680","Canada","Federal","3.25","Jun 1, 2021","5.33","113.22","FI","CAD","CAD","1.00","5.33","0.91","-","0.91","1,966,679.90"
"CANADA (GOVERNMENT OF)","135087ZU1","B4888C1","0.75","$1,956,531","Canada","Federal","2.75","Jun 1, 2022","6.23","110.99","FI","CAD","CAD","1.00","6.24","1.07","-","1.07","1,956,531.13"
"CANADA (GOVERNMENT OF)","135087YL2","B28XMW0","0.71","$1,844,129","Canada","Federal","4.25","Jun 1, 2018","2.67","110.66","FI","CAD","CAD","1.00","2.67","0.44","-","0.44","1,844,128.79"
"ONTARIO CANADA (PROVINCE OF)","6832348J0","B62H1W9","0.70","$1,840,867","Canada","Provincial","4.20","Jun 2, 2020","4.40","113.66","FI","CAD","CAD","1.00","4.39","1.27","-","1.27","1,840,866.93"
"QUEBEC (PROVINCE OF) MTN","74814ZEF6","B55FSQ6","0.68","$1,772,973","Canada","Provincial","5.00","Dec 1, 2041","15.95","135.06","FI","CAD","CAD","1.00","16.21","3.05","-","3.05","1,772,972.89"
"ROYAL BANK OF CANADA","780086DV3","B7VMSS7","0.67","$1,764,014","Canada","Financial","2.26","Mar 12, 2018","2.51","102.13","FI","CAD","CAD","1.00","2.50","1.42","-","1.42","1,764,014.06"
"QUEBEC (PROVINCE OF)","74814ZER0","B8W6JP9","0.66","$1,724,820","Canada","Provincial","3.50","Dec 1, 2045","18.75","108.81","FI","CAD","CAD","1.00","19.03","3.05","-","3.05","1,724,820.12"
"ONTARIO (PROVINCE OF)","68323AAD6","B3TFMG6","0.64","$1,685,871","Canada","Provincial","4.00","Jun 2, 2021","5.23","113.82","FI","CAD","CAD","1.00","5.22","1.51","-","1.51","1,685,870.67"
"CANADA HOUSING TRUST NO 1","13509PEA7","BF262D7","0.64","$1,685,740","Canada","Federal","2.35","Dec 15, 2018","3.24","105.02","FI","CAD","CAD","1.00","3.23","0.83","-","0.83","1,685,739.61"
"CANADA (GOVERNMENT OF)","135087YF5","B1G6W35","0.64","$1,674,330","Canada","Federal","4.00","Jun 1, 2017","1.76","106.47","FI","CAD","CAD","1.00","1.76","0.43","-","0.43","1,674,330.13"
"CANADA HOUSING TRUST NO 1 144A","13509PEG4","BKS8PH7","0.63","$1,640,818","Canada","Federal","1.95","Jun 15, 2019","3.72","103.90","FI","CAD","CAD","1.00","3.71","0.92","-","0.92","1,640,818.28"
"TORONTO DOMINION BANK (MONTREAL BR MTN","89116ZAC0","B1PC698","0.63","$1,640,506","Canada","Financial","4.78","Dec 14, 2105","1.32","104.33","FI","CAD","CAD","1.00","84.24","0.02","-","1.53","1,640,506.45"
"CANADA HOUSING TRUST NO 1 144A","13509PCZ4","B7037J5","0.62","$1,617,226","Canada","Federal","1.85","Dec 15, 2016","1.34","101.77","FI","CAD","CAD","1.00","1.34","0.54","-","0.54","1,617,225.99"
"CANADA HOUSING TRUST NO 1 144A","13509PDM2","B6X0TQ7","0.61","$1,596,165","Canada","Federal","1.70","Dec 15, 2017","2.31","102.41","FI","CAD","CAD","1.00","2.31","0.67","-","0.67","1,596,165.28"
"CANADA HOUSING TRUST NO.1 144A","13509PDF7","B7GMSX7","0.60","$1,579,559","Canada","Federal","2.05","Jun 15, 2017","1.82","102.68","FI","CAD","CAD","1.00","1.82","0.60","-","0.60","1,579,559.38"
"QUEBEC (PROVINCE OF)","74814ZEH2","B3KD292","0.60","$1,574,736","Canada","Provincial","4.25","Dec 1, 2021","5.60","115.71","FI","CAD","CAD","1.00","5.59","1.62","-","1.62","1,574,736.34"
