iShares Canadian Short Term Bond Index ETF
Inception Date,"Nov 20, 2000"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$2,136,492,505"
Shares Outstanding,"74,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"CANADA (GOVERNMENT OF)","135087YR9","B3DLWM6","3.04","$64,945,325","Canada","Federal","3.75","Jun 1, 2019","3.58","112.21","FI","CAD","CAD","1.00","3.58","0.52","-","0.52","64,945,324.51"
"CANADA (GOVERNMENT OF)","135087D27","BN8SX52","2.52","$53,856,737","Canada","Federal","1.25","Aug 1, 2017","1.96","101.60","FI","CAD","CAD","1.00","1.96","0.44","-","0.44","53,856,736.59"
"CANADA (GOVERNMENT OF)","135087B60","BFRB3S9","2.30","$49,126,182","Canada","Federal","1.50","Feb 1, 2017","1.48","101.58","FI","CAD","CAD","1.00","1.47","0.44","-","0.44","49,126,182.35"
"CANADA (GOVERNMENT OF)","135087YZ1","B403J21","2.28","$48,748,274","Canada","Federal","3.50","Jun 1, 2020","4.46","113.12","FI","CAD","CAD","1.00","4.46","0.73","-","0.73","48,748,273.77"
"ONTARIO CANADA (PROVINCE OF)","6832348J0","B62H1W9","1.96","$41,782,760","Canada","Provincial","4.20","Jun 2, 2020","4.40","113.66","FI","CAD","CAD","1.00","4.39","1.27","-","1.27","41,782,759.59"
"CANADA HOUSING TRUST NO 1 144A","13509PCZ4","B7037J5","1.80","$38,466,612","Canada","Federal","1.85","Dec 15, 2016","1.34","101.77","FI","CAD","CAD","1.00","1.34","0.54","-","0.54","38,466,612.35"
"CANADA HOUSING TRUST NO 1 144A","13509PEP4","BQVC9T8","1.76","$37,573,581","Canada","Federal","2.00","Dec 15, 2019","4.18","104.26","FI","CAD","CAD","1.00","4.17","1.00","-","1.00","37,573,580.98"
"CANADA HOUSING TRUST NO 1","13509PEA7","BF262D7","1.73","$36,991,513","Canada","Federal","2.35","Dec 15, 2018","3.24","105.02","FI","CAD","CAD","1.00","3.23","0.83","-","0.83","36,991,512.92"
"CANADA HOUSING TRUST NO 1 144A","13509PDM2","B6X0TQ7","1.73","$36,932,493","Canada","Federal","1.70","Dec 15, 2017","2.31","102.41","FI","CAD","CAD","1.00","2.31","0.67","-","0.67","36,932,493.06"
"CANADA HOUSING TRUST NO.1 144A","13509PDF7","B7GMSX7","1.70","$36,410,182","Canada","Federal","2.05","Jun 15, 2017","1.82","102.68","FI","CAD","CAD","1.00","1.82","0.60","-","0.60","36,410,182.38"
"CANADA HOUSING TRUST NO 1 144A","13509PEG4","BKS8PH7","1.69","$36,045,966","Canada","Federal","1.95","Jun 15, 2019","3.72","103.90","FI","CAD","CAD","1.00","3.71","0.92","-","0.92","36,045,966.05"
"CANADA (GOVERNMENT OF)","135087YF5","B1G6W35","1.61","$34,470,391","Canada","Federal","4.00","Jun 1, 2017","1.76","106.47","FI","CAD","CAD","1.00","1.76","0.43","-","0.43","34,470,391.24"
"CANADA (GOVERNMENT OF)","135087ZQ0","B55HXF6","1.51","$32,359,911","Canada","Federal","2.75","Sep 1, 2016","1.05","102.45","FI","CAD","CAD","1.00","1.05","0.45","-","0.45","32,359,910.60"
"CANADA (GOVERNMENT OF)","135087B37","B984NL8","1.47","$31,341,473","Canada","Federal","1.25","Sep 1, 2018","3.01","102.49","FI","CAD","CAD","1.00","3.00","0.43","-","0.43","31,341,472.57"
"CANADA (GOVERNMENT OF)","135087D92","BRJG7P1","1.45","$31,071,298","Canada","Federal","1.50","Mar 1, 2020","4.40","103.90","FI","CAD","CAD","1.00","4.40","0.63","-","0.63","31,071,298.44"
"CANADA (GOVERNMENT OF)","135087YL2","B28XMW0","1.45","$30,887,764","Canada","Federal","4.25","Jun 1, 2018","2.67","110.66","FI","CAD","CAD","1.00","2.67","0.44","-","0.44","30,887,764.30"
"CANADA (GOVERNMENT OF)","135087ZV9","B73X5J8","1.43","$30,574,761","Canada","Federal","1.50","Mar 1, 2017","1.54","101.69","FI","CAD","CAD","1.00","1.55","0.42","-","0.42","30,574,761.25"
"CANADA (GOVERNMENT OF)","135087A46","B87DNX1","1.40","$29,955,777","Canada","Federal","1.50","Sep 1, 2017","2.03","102.19","FI","CAD","CAD","1.00","2.03","0.44","-","0.44","29,955,777.29"
"ONTARIO CANADA (PROVINCE OF) MTN","683234B80","B4JY9V4","1.40","$29,866,942","Canada","Provincial","4.40","Jun 2, 2019","3.55","112.46","FI","CAD","CAD","1.00","3.54","1.07","-","1.07","29,866,941.80"
"CANADA (GOVERNMENT OF)","135087C85","BLRLRD4","1.40","$29,802,830","Canada","Federal","1.75","Sep 1, 2019","3.92","104.93","FI","CAD","CAD","1.00","3.91","0.53","-","0.53","29,802,830.26"
"CANADA (GOVERNMENT OF)","135087B86","BH4H328","1.39","$29,596,751","Canada","Federal","1.75","Mar 1, 2019","3.44","104.57","FI","CAD","CAD","1.00","3.45","0.46","-","0.46","29,596,751.35"
"CANADA (GOVERNMENT OF)","135087D68","BQ1YGS2","1.37","$29,357,601","Canada","Federal","1.00","Nov 1, 2016","1.23","100.71","FI","CAD","CAD","1.00","1.23","0.43","-","0.43","29,357,601.05"
"CANADA HOUSING TRUST NO 1","13509PBN2","B3FP8W8","1.37","$29,291,971","Canada","Federal","4.10","Dec 15, 2018","3.16","110.79","FI","CAD","CAD","1.00","3.15","0.83","-","0.83","29,291,970.74"
"CANADA (GOVERNMENT OF)","135087A87","B84XPW7","1.37","$29,280,447","Canada","Federal","1.25","Mar 1, 2018","2.52","102.09","FI","CAD","CAD","1.00","2.52","0.43","-","0.43","29,280,446.83"
"CANADA (GOVERNMENT OF)","135087E34","BVXLJX2","1.34","$28,560,021","Canada","Federal","0.25","May 1, 2017","1.73","99.71","FI","CAD","CAD","1.00","1.73","0.42","-","0.42","28,560,020.78"
"ONTARIO PROVINCE OF","68323ABR4","B96Z8V8","1.25","$26,734,135","Canada","Provincial","2.10","Sep 8, 2018","2.98","103.64","FI","CAD","CAD","1.00","2.97","0.90","-","0.90","26,734,135.10"
"CANADA (GOVERNMENT OF)","135087E26","BVDPQH7","1.07","$22,754,105","Canada","Federal","1.25","Feb 1, 2018","2.45","102.02","FI","CAD","CAD","1.00","2.45","0.44","-","0.44","22,754,105.00"
"ONTARIO (PROVINCE OF)","68323AAX2","B70BPS4","1.06","$22,666,977","Canada","Provincial","1.90","Sep 8, 2017","2.04","102.43","FI","CAD","CAD","1.00","2.04","0.72","-","0.72","22,666,977.04"
"CANADA HOUSING TRUST NO.1 144A","13509PCA9","B3XL7F4","1.00","$21,461,622","Canada","Federal","3.75","Mar 15, 2020","4.23","112.19","FI","CAD","CAD","1.00","4.22","1.03","-","1.03","21,461,621.76"
"ONTARIO (PROVINCE OF)","683234YX0","B1N4J31","0.96","$20,416,264","Canada","Provincial","4.30","Mar 8, 2017","1.52","105.73","FI","CAD","CAD","1.00","1.52","0.66","-","0.66","20,416,263.53"
"CANADA HOUSING TRUST NO 1 144A","13509PEV1","BVY7ZM0","0.94","$20,145,792","Canada","Federal","1.20","Jun 15, 2020","4.71","100.56","FI","CAD","CAD","1.00","4.70","1.08","-","1.08","20,145,792.18"
"QUEBEC (PROVINCE OF)","74814ZEE9","B500MC0","0.91","$19,514,989","Canada","Provincial","4.50","Dec 1, 2019","3.96","114.05","FI","CAD","CAD","1.00","3.95","1.16","-","1.16","19,514,988.84"
